shopify_variant_id,sku,product_title,variant_title,current_barcode,new_barcode
gid://shopify/ProductVariant/52095530664241,185402,LEILA IN OAT,SMALL,144803,
gid://shopify/ProductVariant/52100475945265,144803,LIORA IN CAVIAR,LARGE,144803,
gid://shopify/ProductVariant/52311843668273,110903,CLEE INDUSTRIES SWEATSHORTS (MAROON),MEDIUM,110902,
gid://shopify/ProductVariant/52860479570225,109902,4 POCKET CUBAN SHIRT IN CELADON,3X - LARGE,109902,
gid://shopify/ProductVariant/52860686926129,110807,4 POCKET CUBAN SHIRT IN NIMBUS,3X - LARGE,110802,
gid://shopify/ProductVariant/52860619850033,140002,4 POCKET CUBAN SHIRT IN STONE GREY,3X - LARGE,140002,
gid://shopify/ProductVariant/52149866955057,144402,LIORA IN ANTHRACITE,SMALL,144402,
gid://shopify/ProductVariant/52149866987825,144403,LIORA IN ANTHRACITE,LARGE,144403,
gid://shopify/ProductVariant/52100475912497,144802,LIORA IN CAVIAR,SMALL,144802,
gid://shopify/ProductVariant/52149972992305,144902,LIORA IN CHARCOAL GREY,SMALL,144902,
gid://shopify/ProductVariant/52149973025073,144903,LIORA IN CHARCOAL GREY,LARGE,144903,
gid://shopify/ProductVariant/52149891727665,145002,LIORA IN WOOD,SMALL,145002,
gid://shopify/ProductVariant/52149891760433,145003,LIORA IN WOOD,LARGE,145003,
gid://shopify/ProductVariant/52100495704369,176202,"""VINES AND THORNS"" OVERPOCKET PHAT PANTS IN NAVY",SMALL,176202,
gid://shopify/ProductVariant/52100495737137,176203,"""VINES AND THORNS"" OVERPOCKET PHAT PANTS IN NAVY",MEDIUM,176203,
gid://shopify/ProductVariant/52100495769905,176204,"""VINES AND THORNS"" OVERPOCKET PHAT PANTS IN NAVY",LARGE,176204,
gid://shopify/ProductVariant/52100495802673,176205,"""VINES AND THORNS"" OVERPOCKET PHAT PANTS IN NAVY",EXTRA - LARGE,176205,
gid://shopify/ProductVariant/52100495835441,176206,"""VINES AND THORNS"" OVERPOCKET PHAT PANTS IN NAVY",2X - LARGE,176206,
gid://shopify/ProductVariant/52100495868209,176207,"""VINES AND THORNS"" OVERPOCKET PHAT PANTS IN NAVY",3X - LARGE,176207,
gid://shopify/ProductVariant/52034743566641,178802,"""CROP CIRCLES"" MOCK NECK TEE IN OLIVE",EXTRA-SMALL,178802,
gid://shopify/ProductVariant/52034743599409,178803,"""CROP CIRCLES"" MOCK NECK TEE IN OLIVE",SMALL,178803,
gid://shopify/ProductVariant/52034743632177,178804,"""CROP CIRCLES"" MOCK NECK TEE IN OLIVE",MEDIUM,178804,
gid://shopify/ProductVariant/52034743664945,178805,"""CROP CIRCLES"" MOCK NECK TEE IN OLIVE",LARGE,178805,
gid://shopify/ProductVariant/52034743697713,178806,"""CROP CIRCLES"" MOCK NECK TEE IN OLIVE",EXTRA-LARGE,178806,
gid://shopify/ProductVariant/52034743730481,178807,"""CROP CIRCLES"" MOCK NECK TEE IN OLIVE",2X-LARGE,178807,
