barcode,product_title,variant_title,sku,shopify_product_id,shopify_variant_id,status,inventory_item_id
964108,EXO™ BOX LITE TEE IN OLIVE/ANTHRACITE,3X - LARGE,964108,gid://shopify/Product/10179930063153,gid://shopify/ProductVariant/50713761382705,active,gid://shopify/InventoryItem/52783241691441
964108,EXO™ BOX LITE TEE IN NAVY/ANTHRACITE,3X - LARGE,964108,gid://shopify/Product/10179929702705,gid://shopify/ProductVariant/50713759220017,active,gid://shopify/InventoryItem/52783239528753
964109,EXO™ BOX LITE TEE IN OLIVE/ANTHRACITE,4X - LARGE,964109,gid://shopify/Product/10179930063153,gid://shopify/ProductVariant/50713761415473,active,gid://shopify/InventoryItem/52783241724209
964109,EXO™ BOX LITE TEE IN NAVY/ANTHRACITE,4X - LARGE,964109,gid://shopify/Product/10179929702705,gid://shopify/ProductVariant/50713759252785,active,gid://shopify/InventoryItem/52783239561521
968302,"""HITTER"" V3 BOX TEE LITE TEE IN WHITE/ANTHRACITE",EXTRA-SMALL,968302,gid://shopify/Product/10144898842929,gid://shopify/ProductVariant/50569331573041,archived,gid://shopify/InventoryItem/52634154303793
968302,"""HITTER"" V3 BOX TEE LITE TEE IN WHITE/ANTHRACITE",EXTRA-SMALL,968302,gid://shopify/Product/10116294934833,gid://shopify/ProductVariant/50457634144561,archived,gid://shopify/InventoryItem/52512660652337
968303,"""HITTER"" V3 BOX TEE LITE TEE IN WHITE/ANTHRACITE",SMALL,968303,gid://shopify/Product/10144898842929,gid://shopify/ProductVariant/50569331605809,archived,gid://shopify/InventoryItem/52634154336561
968303,"""HITTER"" V3 BOX TEE LITE TEE IN WHITE/ANTHRACITE",SMALL,968303,gid://shopify/Product/10116294934833,gid://shopify/ProductVariant/50457634177329,archived,gid://shopify/InventoryItem/52512660685105
968304,"""HITTER"" V3 BOX TEE LITE TEE IN WHITE/ANTHRACITE",MEDIUM,968304,gid://shopify/Product/10144898842929,gid://shopify/ProductVariant/50569331638577,archived,gid://shopify/InventoryItem/52634154369329
968304,"""HITTER"" V3 BOX TEE LITE TEE IN WHITE/ANTHRACITE",MEDIUM,968304,gid://shopify/Product/10116294934833,gid://shopify/ProductVariant/50457634210097,archived,gid://shopify/InventoryItem/52512660717873
968305,"""HITTER"" V3 BOX TEE LITE TEE IN WHITE/ANTHRACITE",LARGE,968305,gid://shopify/Product/10144898842929,gid://shopify/ProductVariant/50569331671345,archived,gid://shopify/InventoryItem/52634154402097
968305,"""HITTER"" V3 BOX TEE LITE TEE IN WHITE/ANTHRACITE",LARGE,968305,gid://shopify/Product/10116294934833,gid://shopify/ProductVariant/50457634242865,archived,gid://shopify/InventoryItem/52512660750641
968306,"""HITTER"" V3 BOX TEE LITE TEE IN WHITE/ANTHRACITE",EXTRA-LARGE,968306,gid://shopify/Product/10144898842929,gid://shopify/ProductVariant/50569331704113,archived,gid://shopify/InventoryItem/52634154434865
968306,"""HITTER"" V3 BOX TEE LITE TEE IN WHITE/ANTHRACITE",EXTRA-LARGE,968306,gid://shopify/Product/10116294934833,gid://shopify/ProductVariant/50457634275633,archived,gid://shopify/InventoryItem/52512660783409
968307,"""HITTER"" V3 BOX TEE LITE TEE IN WHITE/ANTHRACITE",2X-LARGE,968307,gid://shopify/Product/10144898842929,gid://shopify/ProductVariant/50569331736881,archived,gid://shopify/InventoryItem/52634154467633
968307,"""HITTER"" V3 BOX TEE LITE TEE IN WHITE/ANTHRACITE",2X-LARGE,968307,gid://shopify/Product/10116294934833,gid://shopify/ProductVariant/50457634308401,archived,gid://shopify/InventoryItem/52512660816177
968308,"""HITTER"" V3 BOX TEE LITE TEE IN WHITE/ANTHRACITE",3X-LARGE,968308,gid://shopify/Product/10144898842929,gid://shopify/ProductVariant/50569331769649,archived,gid://shopify/InventoryItem/52634154500401
968308,"""HITTER"" V3 BOX TEE LITE TEE IN WHITE/ANTHRACITE",3X-LARGE,968308,gid://shopify/Product/10116294934833,gid://shopify/ProductVariant/50457634341169,archived,gid://shopify/InventoryItem/52512660848945
968309,"""HITTER"" V3 BOX TEE LITE TEE IN WHITE/ANTHRACITE",4X-LARGE,968309,gid://shopify/Product/10144898842929,gid://shopify/ProductVariant/50569331802417,archived,gid://shopify/InventoryItem/52634154533169
968309,"""HITTER"" V3 BOX TEE LITE TEE IN WHITE/ANTHRACITE",4X-LARGE,968309,gid://shopify/Product/10116294934833,gid://shopify/ProductVariant/50458384662833,archived,gid://shopify/InventoryItem/52513423065393
969602,M+ CLASSIC POCKET LITE TEE IN GLACIER,EXTRA - SMALL,969602,gid://shopify/Product/10305730511153,gid://shopify/ProductVariant/51412698825009,active,gid://shopify/InventoryItem/53479924662577
969602,M+ CLASSIC POCKET LITE TEE,GLACIER / EXTRA - SMALL,969602,gid://shopify/Product/10341333795121,gid://shopify/ProductVariant/51589171446065,active,gid://shopify/InventoryItem/53656618402097
969603,M+ CLASSIC POCKET LITE TEE IN GLACIER,SMALL,969603,gid://shopify/Product/10305730511153,gid://shopify/ProductVariant/51412698857777,active,gid://shopify/InventoryItem/53479924695345
969603,M+ CLASSIC POCKET LITE TEE,GLACIER / SMALL,969603,gid://shopify/Product/10341333795121,gid://shopify/ProductVariant/51589171577137,active,gid://shopify/InventoryItem/53656618533169
969604,M+ CLASSIC POCKET LITE TEE IN GLACIER,MEDIUM,969604,gid://shopify/Product/10305730511153,gid://shopify/ProductVariant/51412698890545,active,gid://shopify/InventoryItem/53479924728113
969604,M+ CLASSIC POCKET LITE TEE,GLACIER / MEDIUM,969604,gid://shopify/Product/10341333795121,gid://shopify/ProductVariant/51589171544369,active,gid://shopify/InventoryItem/53656618500401
969605,M+ CLASSIC POCKET LITE TEE IN GLACIER,LARGE,969605,gid://shopify/Product/10305730511153,gid://shopify/ProductVariant/51412698923313,active,gid://shopify/InventoryItem/53479924760881
969605,M+ CLASSIC POCKET LITE TEE,GLACIER / LARGE,969605,gid://shopify/Product/10341333795121,gid://shopify/ProductVariant/51589171511601,active,gid://shopify/InventoryItem/53656618467633
969606,M+ CLASSIC POCKET LITE TEE IN GLACIER,EXTRA - LARGE,969606,gid://shopify/Product/10305730511153,gid://shopify/ProductVariant/51412698956081,active,gid://shopify/InventoryItem/53479924793649
969606,M+ CLASSIC POCKET LITE TEE,GLACIER / EXTRA-LARGE,969606,gid://shopify/Product/10341333795121,gid://shopify/ProductVariant/51589171478833,active,gid://shopify/InventoryItem/53656618434865
969607,M+ CLASSIC POCKET LITE TEE IN GLACIER,2X - LARGE,969607,gid://shopify/Product/10305730511153,gid://shopify/ProductVariant/51412698988849,active,gid://shopify/InventoryItem/53479924826417
969607,M+ CLASSIC POCKET LITE TEE,GLACIER / 2X - LARGE,969607,gid://shopify/Product/10341333795121,gid://shopify/ProductVariant/51589171347761,active,gid://shopify/InventoryItem/53656618303793
969608,M+ CLASSIC POCKET LITE TEE IN GLACIER,3X - LARGE,969608,gid://shopify/Product/10305730511153,gid://shopify/ProductVariant/51412699021617,active,gid://shopify/InventoryItem/53479924859185
969608,M+ CLASSIC POCKET LITE TEE,GLACIER / 3X-LARGE,969608,gid://shopify/Product/10341333795121,gid://shopify/ProductVariant/51589171380529,active,gid://shopify/InventoryItem/53656618336561
969609,M+ CLASSIC POCKET LITE TEE IN GLACIER,4X - LARGE,969609,gid://shopify/Product/10305730511153,gid://shopify/ProductVariant/51412699054385,active,gid://shopify/InventoryItem/53479924891953
969609,M+ CLASSIC POCKET LITE TEE,GLACIER / 4X-LARGE,969609,gid://shopify/Product/10341333795121,gid://shopify/ProductVariant/51589171413297,active,gid://shopify/InventoryItem/53656618369329
969802,M+ CLASSIC POCKET LITE TEE IN OAT,EXTRA - SMALL,969802,gid://shopify/Product/10305612874033,gid://shopify/ProductVariant/51411952271665,active,gid://shopify/InventoryItem/53479176995121
969802,M+ CLASSIC POCKET LITE TEE,OAT / EXTRA - SMALL,969802,gid://shopify/Product/10341333795121,gid://shopify/ProductVariant/51589171708209,active,gid://shopify/InventoryItem/53656618664241
