barcode,number_of_affected_variants,product_title,variant_title,sku,shopify_product_id,shopify_variant_id,status,inventory_item_id,recommended_action,priority,review_reason
111005,2,CLEE INDUSTRIES SWEATSHORTS (BLACK),EXTRA LARGE,111005,gid://shopify/Product/10512067166513,gid://shopify/ProductVariant/52311821287729,archived,gid://shopify/InventoryItem/54406249873713,remove barcode temporarily,medium,Non-active variant duplicates barcode; remove until unique barcode is assigned.
125805,2,"TAKAO ""FIFO"" TEE IN BLACK",LARGE,125805,gid://shopify/Product/10570654089521,gid://shopify/ProductVariant/52805252153649,archived,gid://shopify/InventoryItem/54902895182129,remove barcode temporarily,medium,Non-active variant duplicates barcode; remove until unique barcode is assigned.
125805,2,"TAKAO ""FIFO"" TEE IN OAT",LARGE,125805,gid://shopify/Product/10570653499697,gid://shopify/ProductVariant/52805251760433,active,gid://shopify/InventoryItem/54902894788913,keep barcode on this variant,high,Only active variant in duplicate group.
125806,2,"TAKAO ""FIFO"" TEE IN BLACK",EXTRA - LARGE,125806,gid://shopify/Product/10570654089521,gid://shopify/ProductVariant/52805252186417,archived,gid://shopify/InventoryItem/54902895214897,remove barcode temporarily,medium,Non-active variant duplicates barcode; remove until unique barcode is assigned.
125806,2,"TAKAO ""FIFO"" TEE IN OAT",EXTRA - LARGE,125806,gid://shopify/Product/10570653499697,gid://shopify/ProductVariant/52805251793201,active,gid://shopify/InventoryItem/54902894821681,keep barcode on this variant,high,Only active variant in duplicate group.
125807,2,"TAKAO ""FIFO"" TEE IN BLACK",2X - LARGE,125807,gid://shopify/Product/10570654089521,gid://shopify/ProductVariant/52805252219185,archived,gid://shopify/InventoryItem/54902895247665,remove barcode temporarily,medium,Non-active variant duplicates barcode; remove until unique barcode is assigned.
125807,2,"TAKAO ""FIFO"" TEE IN OAT",2X - LARGE,125807,gid://shopify/Product/10570653499697,gid://shopify/ProductVariant/52805251825969,active,gid://shopify/InventoryItem/54902894854449,keep barcode on this variant,high,Only active variant in duplicate group.
125808,2,"TAKAO ""FIFO"" TEE IN BLACK",3X - LARGE,125808,gid://shopify/Product/10570654089521,gid://shopify/ProductVariant/52805252251953,archived,gid://shopify/InventoryItem/54902895280433,remove barcode temporarily,medium,Non-active variant duplicates barcode; remove until unique barcode is assigned.
125808,2,"TAKAO ""FIFO"" TEE IN OAT",3X - LARGE,125808,gid://shopify/Product/10570653499697,gid://shopify/ProductVariant/52805251858737,active,gid://shopify/InventoryItem/54902894887217,keep barcode on this variant,high,Only active variant in duplicate group.
130002,2,JJ TEE,ANTHRACITE / EXTRA-SMALL,130002,gid://shopify/Product/10341380587825,gid://shopify/ProductVariant/51589541757233,archived,gid://shopify/InventoryItem/53656990548273,remove barcode temporarily,medium,Non-active variant duplicates barcode; remove until unique barcode is assigned.
130002,2,JJ TEE IN ANTHRACITE,EXTRA - SMALL,130002,gid://shopify/Product/10305559232817,gid://shopify/ProductVariant/51411553255729,archived,gid://shopify/InventoryItem/53478786761009,manual business review needed,medium,No active variant in group; choose canonical keeper by business decision.
130003,2,JJ TEE,ANTHRACITE / SMALL,130003,gid://shopify/Product/10341380587825,gid://shopify/ProductVariant/51589541855537,archived,gid://shopify/InventoryItem/53656990646577,remove barcode temporarily,medium,Non-active variant duplicates barcode; remove until unique barcode is assigned.
130003,2,JJ TEE IN ANTHRACITE,SMALL,130003,gid://shopify/Product/10305559232817,gid://shopify/ProductVariant/51411553288497,archived,gid://shopify/InventoryItem/53478786793777,manual business review needed,medium,No active variant in group; choose canonical keeper by business decision.
