shopify_variant_id,sku,product_title,variant_title,current_barcode,new_barcode
gid://shopify/ProductVariant/52034743763249,178808,"""CROP CIRCLES"" MOCK NECK TEE IN OLIVE",3X-LARGE,178808,
gid://shopify/ProductVariant/52034743796017,178809,"""CROP CIRCLES"" MOCK NECK TEE IN OLIVE",4X-LARGE,178809,
gid://shopify/ProductVariant/52327205208369,181202,LITTLE HUMAN™ 4 POCKET CUBAN SHIRT IN OLIVE,1-2,181202,
gid://shopify/ProductVariant/52327205241137,181203,LITTLE HUMAN™ 4 POCKET CUBAN SHIRT IN OLIVE,3-4,181203,
gid://shopify/ProductVariant/52327205273905,181204,LITTLE HUMAN™ 4 POCKET CUBAN SHIRT IN OLIVE,5-6,181204,
gid://shopify/ProductVariant/52327205306673,181205,LITTLE HUMAN™ 4 POCKET CUBAN SHIRT IN OLIVE,7-8,181205,
gid://shopify/ProductVariant/52327205339441,181206,LITTLE HUMAN™ 4 POCKET CUBAN SHIRT IN OLIVE,9-10,181206,
gid://shopify/ProductVariant/52327205372209,181207,LITTLE HUMAN™ 4 POCKET CUBAN SHIRT IN OLIVE,11-12,181207,
gid://shopify/ProductVariant/52327205404977,181208,LITTLE HUMAN™ 4 POCKET CUBAN SHIRT IN OLIVE,13-14,181208,
gid://shopify/ProductVariant/52456595128625,193302,"""COLD NAVY"" CHORE JACKET",EXTRA - SMALL,193302,
gid://shopify/ProductVariant/52443775729969,193502,"""TRUE BLUE"" CHORE JACKET",EXTRA - SMALL,193502,
gid://shopify/ProductVariant/52420558356785,322103,"""KAZE"" SHIRT (001) IN SEPIA",SMALL,322103,
gid://shopify/ProductVariant/52420558389553,322104,"""KAZE"" SHIRT (001) IN SEPIA",MEDIUM,322104,
gid://shopify/ProductVariant/52420558422321,322105,"""KAZE"" SHIRT (001) IN SEPIA",LARGE,322105,
gid://shopify/ProductVariant/52420558455089,322106,"""KAZE"" SHIRT (001) IN SEPIA",EXTRA - LARGE,322106,
gid://shopify/ProductVariant/52420558487857,322107,"""KAZE"" SHIRT (001) IN SEPIA",2X - LARGE,322107,
gid://shopify/ProductVariant/52432636444977,323104,"""SNUG"" SWEATSHIRT (001) IN MOSS",3X - LARGE,323104,
gid://shopify/ProductVariant/50736683843889,536191,CLASSIC TEE IN WHITE,EXTRA - SMALL,536191,
gid://shopify/ProductVariant/50736683876657,536192,CLASSIC TEE IN WHITE,SMALL,536192,
gid://shopify/ProductVariant/50736683909425,536193,CLASSIC TEE IN WHITE,MEDIUM,536193,
gid://shopify/ProductVariant/50736683942193,536194,CLASSIC TEE IN WHITE,LARGE,536194,
gid://shopify/ProductVariant/50736683974961,536195,CLASSIC TEE IN WHITE,EXTRA - LARGE,536195,
gid://shopify/ProductVariant/50736684007729,536196,CLASSIC TEE IN WHITE,2X - LARGE,536196,
gid://shopify/ProductVariant/50736684040497,536197,CLASSIC TEE IN WHITE,3X - LARGE,536197,
gid://shopify/ProductVariant/50736684073265,536198,CLASSIC TEE IN WHITE,4X - LARGE,536198,
